title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
PUCK CONTROL - PYLON WARM-UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_pylon_warm_up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place pylons down middle of ice, players start on hash marks; Perform various moves down ice.; Heel to heel; Open up to backhand – puck protect; Eberle – up and back; Quick Hands toe up; Fast hand slow feet; Backhand toe drags; Stop and go quick Hands; Can be done full ice or half ice","Head up,; Repeat for consistency",[],All Zones,All Zones,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL - 3 PUCK STICKHANDLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_3_puck_stickhandle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place 3 pucks in a triangle formation anywhere on the ice.; Player must try to keep feet steady while utilizing only the arms and upper body to move the puck randomly through the 3 stationary pucks.; Progression is to move the pucks wider apart and then skate through the pucks while stickhandling,Work on quick hands and range of motion,[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL - 4 PYLON AGILITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_4_pylon_agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 4 pylons around a circle or anywhere on the ice.; Players start by carrying a puck and stickhandling around the pylons in a random fashion.; Progression – add a second player and have them challenge each other instead of avoiding each other; Progression – two players, one puck and they have to support each other by passing the puck back and forth while facing each other.; Progression – have one player stationary on wall and pass back and forth, to work on puck support. Skate and pass, or one touch","Keep feet moving, be creative, and go as fast as possible – quick feet and quick hands; Always be ready to pass and receive – Expect the Pass",[],Unknown,Unknown,[],"['Skating', 'Stickhandling', 'Passing']",Intermediate
PUCK CONTROL - AGILITY NETS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_agility_nets.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place a net in the Neutral Zone or anywhere on the ice to use as a station.; Players perform  puckhandling techniques to work on quickness, agility and creativity.; Add a second player to work on heads up play or to act as a defender so players are working on offence and defence.",,[],Neutral Zone,Neutral Zone,[],['Stickhandling'],Intermediate
PUCK CONTROL - BOX CREATIVITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_box_creativity.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place 4 pylons in a box formation anywhere on the ice; Player skates in random pattern with puck around all 4 pylons; Finish with shot on net,"Fast feet, fast hands; Deception, fakes creativity",[],Unknown,Unknown,[],"['Skating', 'Stickhandling', 'Shooting']",Intermediate
PUCK CONTROL - CORNER OBSTACLE AGILITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_corner_obstacle_agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner with pucks.; Place a couple of obstacles in the circle to act as a defensemen’s stick (Stick on pylon, Assistant coach, etc...); Players perform random moves working on moving the puck laterally and changing directions.  Quick feet and quick hands.",Let the players figure it out and be creative.,[],Offensive Zone,Offensive Zone,[],['Stickhandling'],Intermediate
PUCK CONTROL - ESCAPES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_escapes.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defensemen skate the drill backwards. When they come to a pylon, turn away from it in an escape move fashion; Shoot at the end of the drill",Maintain your speed; Bend your knees and keep good balance; Control the puck keeping the full blade on the ice; Turn your head and shoulder first into the escape turn,['Defence'],Unknown,Unknown,[],"['Skating', 'Shooting', 'Stickhandling']",Intermediate
PUCK CONTROL - LAND MINES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_land_mines.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Randomly spread out pucks within faceoff circle; Players perform puck control skills around and between pucks,Maintain control of the puck; Creativity with the puck; Quick feet and quick hands,[],Unknown,Unknown,['Small Area Game'],['Stickhandling'],Intermediate
PUCK CONTROL - NEUTRAL ZONE AGILITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_neutral_zone_agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place pylons in a row in the Neutral Zone; Perform various puck skills as shown:; One hand to back hand; Eberle, pull back; Quick hands slow feet; Spin puck off stick; Puck first, feet follow; 1 crossover to forehand; 1 crossover each way","One hand to back hand; Eberle, pull back; Quick hands slow feet; Spin puck off stick; Puck first, feet follow; 1 crossover to forehand; 1 crossover each way",[],Neutral Zone,Neutral Zone,[],['Stickhandling'],Intermediate
PUCK CONTROL - PUCK CONTROL AGILITY WARM-UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_control_agility_warm_up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players moves through the middle lane controlling the puck; Players perform the following skills; Side middle Side; Wide; Short, short, wide, wide; Forehand side control; Forehand side control shot fake; Mohawk backhand control; One hand forehand only; One hand backhand only; One hand backward skating; Crossover back and forth puck control; Single Crossover puck control; Puck between legs tight turn; Forehand side single knee drops; Forehand side backwards single knee drops","Side middle Side; Wide; Short, short, wide, wide; Forehand side control; Forehand side control shot fake; Mohawk backhand control; One hand forehand only; One hand backhand only; One hand backward skating; Crossover back and forth puck control; Single Crossover puck control; Puck between legs tight turn; Forehand side single knee drops; Forehand side backwards single knee drops",[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL - PUCK DOTS LINEAR,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_dots_linear.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place a line of pucks in a straight line approximately 12 inches apart.; Player has to straddle the pucks with the skates and then move the puck from side to side in and out of the pucks.; Go forwards then backwards.  Add in toe drags to make it harder.,"Quiet feet, use range of motion of arms to so from side to side.; Exchange weight from skate to skate",[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL - PUCK DOTS WIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_dots_wide.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start with two lines of 5 or 6 pucks about 4 – 5 feet apart.; Move the puck from side to side, keeping both hands on the stick.; Keep the feet wide for greater range of motion.; For a progression, stickhandle at each puck before moving it to the other side",Feet wide and make sure the bottom hand can slide on the shaft for greater quickness and range of motion,[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL - AGILITY AND RANGE OF MOTION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_agility_and_range_of_motion.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place sticks on ice to act as obstacles; One vertical, one horizontal; Quick hands, range of motion, toe drags, flip over stick","Quick Hands, smooth movements; Range of motion",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL - FIGURE 8,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_figure_8.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place two pucks about 10 feet apart; Player skates in a figure 8 pattern around the pucks,"As the puck comes around the pylon, try to move is as quickly as possible from forehand to backhand and backhand to forehand; Move the puck as far as possible from forehand to backhand and backhand to forehand",[],Unknown,Unknown,[],['Stickhandling'],Easy
PUCK CONTROL - PUCK DOTS ZIG ZAG,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_puck_dots_zig_zag.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place pucks in a zig zag pattern; Perform various puck handling skills as shown:Side to side, take bottom hand off stick on forehandMove puck quickly for forehand to backhand and vice versaOne Crossover coming around puck; Side to side, take bottom hand off stick on forehand; Move puck quickly for forehand to backhand and vice versa; One Crossover coming around puck","Side to side, take bottom hand off stick on forehand; Move puck quickly for forehand to backhand and vice versa; One Crossover coming around puck",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – WARM UP 5,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_warm_up_5.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Have the players skate along the lines of the ice ie blue line,
    red line, blue line and use ringette lines too for more reps.; Perform various puck handling skills as show using the line
    as a guide","Repetition is key so do the same skill on all the lines for
    more repetition; Utilize skills that emphasize range of motion using the line
    as a guide for doing the moves.",[],All Zones,All Zones,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – 3 PUCK – QUICK HANDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_3_puck_quick_hands.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two players skate into circle handling 1 puck in a random
    pattern; On whistle, each player gets passed a second puck – handle
    both at same time; On next whistle, each player gets passed a third puck –
    handle all 3 at same time","Quick hands, dynamic moves; Change pucks as quickly as possible",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – STATIONARY STICKHANDLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_3_puck_stationary_stickhandle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place 3 pucks in front of the player; Player handles all 3 pucks alternating touching each one,Quick hands; Hand eye coordination; Move pucks in random pattern,[],Unknown,Unknown,[],['Stickhandling'],Easy
PUCK CONTROL – ATTACK THE TRIANGLE #1 – STATIONARY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_attack_the_triangle_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place one player stationary on a dot with feet apart and
    stick out in front; Second player stickhandles puck in and out of the skates and
    stick (the triangle); Progression – stationary player can move stick to make it
    more difficult","Think one move ahead; Quick hands, change weight from one leg to the other; Pull stick inside of defenders stick instead of going over top
    all the time",[],Unknown,Unknown,[],['Stickhandling'],Easy
PUCK CONTROL – ATTACK THE TRIANGLE #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_attack_the_triangle_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place one player stationary on a dot with feet apart and
    stick out in front; Second player stickhandles puck in and out of the skates and
    stick (the triangle); Puckhandling player can skate in any direction and all
    around the stationary player","Think one move ahead; Quick hands, change weight from one leg to the other; Pull stick inside of defenders stick instead of going over top
    all the time",['Forward'],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – ATTACK THE TRIANGLE #3,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_attack_the_triangle_3.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place one player stationary on a dot with feet apart and
    stick out in front; Second player stickhandles puck in and out of the skates and
    stick (the triangle); Quick attack moves, in and out then pass to next player in
    line; Rotate players","Think one move ahead; Quick hands, change weight from one leg to the other; Pull stick inside of defenders stick instead of going over top
    all the time",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
PUCK CONTROL – STICKHANDLE AND SHOOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_stickhandle_and_shoot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player starts in circle with 1 puck; Stickhandle in random pattern, on whistle – shoot; Coach then adds 2 pucks, stickhandle both and shoot both; Coach then adds 3 pucks, stickhandle all 3 and shoot all
    three","Quick hands; Shoot to score; When using 2 or 3 pucks, place them in position to shoot
    quickly",[],Unknown,Unknown,[],"['Stickhandling', 'Shooting']",Intermediate
PASSING - PASSING WARM-UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/passing_passing_warm_up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in two lines hash marks; Skate down centre of ice passing back and forth, to far end, then come back along the boards doing the same passing skill; One touch forehand; One touch backhand; Pass and Follow; Cross and Drop; One forward / One backward; One forward / One Backward – Pull to forehand; Random puck support passing","Stay close together; On one touch – “ No Dust “ – try not to stickhandle; Follow through on pass, catch puck on reception",[],Neutral Zone,Neutral Zone,[],['Passing'],Intermediate
